plotID;treeID;Species;N;C;CN;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
KBPL6;1926;Allophylus Kivuensis;3.81;46.57;12.23;38100;465700;2724.23;13.98560327;170.947387;7349.48;7433.71;10975.4;74.66;484.35;252.7;260.36;606.87
KBPL6;1947;Dombeya Goetzenii;4.26;43.04;10.09;42600;430400;3601.67;11.82784653;119.5001208;32616.29;5323.71;18689.96;96.83;717.68;368.33;208.85;601.86
KBPL6;1950;Macaranga Kilimandsharica;2.48;45.12;18.17;24800;451200;1379.57;17.9766159;327.0584313;3715.21;5035.6;7019.88;59.18;445.68;353.21;582.52;5664.36
KBPL6;1951;Macaranga Kilimandsharica;2.13;43.89;20.56;21300;438900;1422.39;14.97479594;308.5651615;3658.12;6030.06;10363.38;68.1;428.08;317.17;1251.16;1241.43
KBPL6;1954;Dombeya Goetzenii;4.07;44.02;10.81;40700;440200;3406.89;11.94637925;129.2087505;22967.44;6708.83;17784.02;56.22;451.63;251.11;131.18;595.92
KBPL10;1960;Alangium Chinense;2.97;43.6;14.66;29700;436000;3362.23;8.833423056;129.6758401;22871.42;3816.8;13881.95;60.74;190.06;115.6;35.27;256.67
KBPL10;1961;Alangium Chinense;3.34;46.11;13.82;33400;461100;2331.33;14.32658611;197.7840975;12747.3;3316.18;11623.95;63.48;121.18;59.63;32.7;207.74
KBPL10;1963;Alangium Chinense;3.3;45.8;13.89;33000;458000;2861.06;11.53418663;160.0805296;14913.89;3485.32;12125.24;66.54;148.73;84.15;31.31;209.39
KBPL10;1969;Neoboutonia Macrocalyx;4.19;46.78;11.17;41900;467800;2762.08;15.16972716;169.3651161;15390.34;5145.17;12674.35;69.7;160.88;95.09;51.45;318.23
KBPL10;1971;Dombeya Goetzenii;4.57;45.3;9.92;45700;453000;3334.48;13.70528538;135.8532665;28797.63;3226.03;10794.18;53.24;214.94;130.15;55.21;368.75
KBPL10;1976;Neoboutonia Macrocalyx;3.5;46.26;13.23;35000;462600;3647.17;9.596481656;126.838069;17594.86;3935.51;13106.03;62.34;140.28;91.57;109.1;377.97
KBPL10;1985;Neoboutonia Macrocalyx;3.81;47.53;12.48;38100;475300;2972.55;12.81727809;159.8963853;14321.57;4082.35;9574.51;60.78;145.1;84.31;66.67;258.82
NPL1;1998;Cleistanthus Polystachyus;2;49.93;24.96;20000;499300;1045.01;19.13857284;477.7944709;5452.05;1322.9;2913.89;15.66;178.08;176.13;639.92;1168.3
NPL1;2009;Cleistanthus Polystachyus;1.79;48.73;27.23;17900;487300;737.99;24.25507121;660.3070502;3110.55;841.68;2266.84;14.23;164.68;97.59;408.64;585.51
NPL1;2011;Syzygium Guineense;1.82;50.23;27.55;18200;502300;876.62;20.76156145;572.9962812;4143.66;2079.55;4257.58;32.82;295.42;799.38;382.31;498.17
NPL1;2026;Carapa Grandiflora;1.97;48.61;24.62;19700;486100;733.96;26.84069977;662.2976729;7409.8;2493.95;4972.74;24.66;223.79;180.17;385;305.34
NPL1;2029;Carapa Grandiflora;1.97;49.37;25;19700;493700;970.22;20.30467317;508.8536621;4291.07;962.33;3876.95;15.78;218.89;159.73;609.35;2443.31
NPL1;2034;Syzygium Guineense;1.69;46.43;27.46;16900;464300;930.05;18.17106607;499.220472;5250.1;2708.09;10840.17;25.4;252.05;281.36;209.07;457.21
NPL1;2038;Syzygium Guineense;1.95;51.05;26.16;19500;510500;693.9;28.10203199;735.6967863;4884.43;2314.29;5306.97;15.51;240.35;244.22;746.23;397.34
NPL1;2044;Carapa Grandiflora;1.8;48.92;27.17;18000;489200;841.86;21.38122728;581.0942437;11860.08;4421.71;7931.4;60.41;144.21;97.44;56.51;148.1
NPL1;2048;Cleistanthus Polystachyus;1.9;50.15;26.38;19000;501500;1761.89;10.78387414;284.6375199;19916.49;3505.45;12616.36;142.58;295.35;136.47;59.07;1042.88
NPL7;2051;Cleistanthus Polystachyus;2.22;47.92;21.55;22200;479200;964.32;23.02140368;496.9304795;4987.46;1064.65;3816.35;18.43;110.56;67.56;646.98;550.75
NPL7;2054;Pentadesma Reindersii;-9999;-9999;-9999;-99990000;-99990000;884.82;-113006.0351;-113006.0351;7195.9;1743.8;4129.84;21.87;212.76;167.02;178.95;2209.08
NPL7;2063;Cleistanthus Polystachyus;2.024;48.973;24.202;20240;489730;922.78;21.93372201;530.7115455;4953.29;1622.5;4543.37;17.16;181.12;144.9;59.1;877.03
NPL7;2075;Ocotea Usambarensis;2.082;50.99;24.494;20820;509900;985.5;21.12633181;517.4023338;5324.86;1559.71;3999.6;17.88;230.48;260.28;443.08;351.68
NPL7;2076;Pentadesma Reindersii;1.799;49.45;27.484;17990;494500;801.04;22.4583042;617.3224808;4765.64;2312.19;3970.4;27.09;255.41;224.45;963.58;334.74
NPL7;2077;Cleistanthus Polystachyus;1.332;45.419;34.098;13320;454190;1107.32;12.0290431;410.1705018;7652.96;1358.07;3434.3;16.05;174.52;124.37;948.85;1113.34
NPL7;2085;Cleistanthus Polystachyus;2.109;48.367;22.937;21090;483670;1546.29;13.63909745;312.7938485;14583.17;2354.98;12458.7;34.58;461.01;78.76;24.97;3309.64
NPL10;2125;Cleistanthus Polystachyus;-9999;-9999;-9999;-99990000;-99990000;825.12;-121182.3735;-121182.3735;4905.88;1660;20118.99;550.08;212.62;144.35;152.15;1068.96
NPL10;2131;Carapa Grandiflora;2.03;48.377;23.832;20300;483770;784.9;25.86316728;616.3460313;6514.88;2524.47;4134.21;17.97;261.63;864.79;459.36;385.46
NPL10;2133;Melchiora Schliebenii ;1.701;48.889;28.747;17010;488890;769.39;22.10842356;635.4254669;7546.83;3154.08;5619.34;24.17;145.02;128.9;364.55;239.68
NPL10;2145;Melchiora Schliebenii ;1.467;48.931;33.35;14670;489310;589;24.90662139;830.7470289;6712.69;2257.52;3062.81;13.52;139.04;272.29;461.55;142.91
NPL10;2160;Melchiora Schliebenii ;1.713;49.35;28.804;17130;493500;945.04;18.12621688;522.2001185;8011.07;3078.29;4737.05;19.77;225.39;1049.82;604.98;310.4
NPL10;2161;Carapa Grandiflora;2.111;48.398;22.924;21110;483980;2056.55;10.2647638;235.335878;11862.2;1961.51;3497.27;19.01;368.73;210.98;374.44;306.01
NPL10;2165;Carapa Grandiflora;1.643;49.228;29.956;16430;492280;802.36;20.47709258;613.5400568;7639.44;1086.49;2797.26;18.01;266.12;256.12;78.04;624.28
NPL10;2180;Syzygium Guineense;1.586;53.772;33.905;15860;537720;676.58;23.441426;794.7618907;6974.78;2608.83;4718.17;19.9;111.44;109.45;435.8;169.15
NPL10;2189;Syzygium Guineense;1.479;48.116;32.531;14790;481160;1081.24;13.67873923;445.0075839;6620.88;1964.29;6534.54;23.55;204.08;131.48;153.06;949.76
NPL11;2214;Syzygium Guineense;1.483;48.31;32.583;14830;483100;704.72;21.04381882;685.5204904;5820.23;2185.98;5123.28;29.12;335.86;298.97;429.04;427.1
NPL11;2215;Carapa Grandiflora;1.889;48.756;25.806;18890;487560;721.71;26.17394798;675.5622064;8270.79;2117.4;2079.63;13.92;274.37;192.85;180.92;324.07
NPL11;2218;Syzygium Guineense;1.663;48.468;29.153;16630;484680;875.97;18.98466842;553.3066201;10758.51;2631.89;3458.09;23.89;314.55;230.94;412.1;374.28
NPL11;2219;Carapa Grandiflora;2.023;49.201;24.317;20230;492010;996.32;20.30472137;493.8272844;7401.81;1514.1;2492.77;13.73;158.86;101.99;78.45;1204.22
NPL11;2224;Melchiora Schliebenii ;1.946;49.234;25.306;19460;492340;948.03;20.52677658;519.3295571;6689.24;2506.5;3701.85;13.74;235.54;720.35;327.79;300.31
NPL11;2238;Melchiora Schliebenii ;1.566;49.598;31.675;15660;495980;1063.37;14.72676491;466.4227879;8899.35;2470.08;4212.28;19.62;294.29;235.43;133.41;541.49
NPL11;2243;Symphonia Globulifera;2.028;48.06;23.699;20280;480600;845.26;23.99261766;568.582448;5475.96;3431.58;7291.85;34.38;497.45;477.23;780.55;446.89
NPL11;2252;Chionanthus Africanus ;-9999;-9999;-9999;-99990000;-99990000;582.06;-171786.4138;-171786.4138;7790.31;1220.01;3378.63;21.2;225.5;138.77;206.23;963.67
NPL11;2260;Chionanthus Africanus ;2.586;47.667;18.432;25860;476670;1195.15;21.63745137;398.8369661;12622.03;1893.3;4023.27;29.58;205.11;138.05;35.5;349.08
