plotID_x,treeID,Species,N,C,CN,N_mass,C_mass,P,NP,CP,K,Mg,Ca,Na,Fe,Al,Mn,Si,forest,plotID_y,meanWD,predHeight18,predHeight20,DBH18,DBH20,TreeBA,BA per Ha,name
KBPL8,1479,Maesa Lanceolata,3.38,48.65,14.41,33800,486500,1739.05,19.43589891,279.7504385,12958.96,2461.74,7587.36,30.51,154.45,106.78,450.02,158.27,Kahuzi,KBPL8,0.676,10.87037051,11.53363535,15.7,18.63,0.02725942,0.170371373,Maesa Lanceolata
KBPL8,1480,Maesa Lanceolata,3.05,48.5,15.89,30500,485000,1849.91,16.48728857,262.1749166,23880.16,2210.59,7572.23,27.15,230.75,195.85,585.61,257.9,Kahuzi,KBPL8,0.676,12.23501424,12.75485362,18.9,21.8,0.03732535,0.233283435,Maesa Lanceolata
KBPL8,1482,Macaranga Kilimandsharica,3.33,45.11,13.54,33300,451100,1616.89,20.59509305,278.9923866,10966.32,3190.77,6968.08,33.24,385.16,322.6,1161.35,621.73,Kahuzi,KBPL8,0.4,12.11480516,12.82717458,18.6,22.0,0.03801336,0.2375835,Macaranga Kilimandsharica
KBPL8,1483,Dombeya Goetzenii,4.18,46.27,11.07,41800,462700,2501.73,16.70843776,184.9520132,17375.66,4760.21,11818.45,47.46,284.78,176.01,686.25,444.97,Kahuzi,KBPL8,0.5,13.39593246,14.53077099,22.0,27.17,0.057978927,0.362368294,Dombeya Goetzenii
KBPL8,1484,Dombeya Goetzenii,3.68,44.91,12.21,36800,449100,2386.14,15.42239768,188.2119239,17592.08,3948.51,9704.95,49.5,322.77,190.1,548.51,491.09,Kahuzi,KBPL8,0.5,19.82865592,19.92126682,49.8,52.5,0.216475875,1.352974219,Dombeya Goetzenii
KBPL8,1493,Neoboutonia Macrocalyx,4.15,48.11,11.6,41500,481100,3000.85,13.829415,160.3212423,15582.08,3762.43,6515.11,60.62,147.77,102.3,301.22,287.96,Kahuzi,KBPL8,0.33,13.67352445,13.80039211,22.8,24.84,0.048461191,0.302882441,Neoboutonia Macrocalyx
KBPL8,1494,Neoboutonia Macrocalyx,4.0,47.66,11.9,40000,476600,2330.9,17.16075336,204.4703762,13011.89,4250.63,8177.76,70.88,185.44,192.39,410.74,386.26,Kahuzi,KBPL8,0.33,9.452258307,9.3453603,12.8,13.79,0.014935488,0.093346803,Neoboutonia Macrocalyx
KBPL8,1495,Macaranga Spinosa,2.51,46.29,18.45,25100,462900,1333.46,18.82321179,347.1420215,8780.11,2651.26,6285.49,17.62,146.86,90.07,1979.64,573.72,Kahuzi,KBPL8,0.3818,12.39300649,12.34746791,19.3,20.7,0.033653605,0.210335029,Macaranga Spinosa
KBPL8,1496,Macaranga Spinosa,2.57,46.1,17.97,25700,461000,1318.59,19.49051638,349.6158776,8118.59,2534.67,6030.15,24.12,211.06,184.92,1559.8,4207.04,Kahuzi,KBPL8,0.3818,8.115798965,7.61051106,10.4,10.57,0.008774874,0.05484296,Macaranga Spinosa
KBPL8,1503,Tabernaemontana Johnstonii,3.63,44.97,12.39,36300,449700,1891.57,19.19040797,237.739021,26041.83,4849.4,6027.61,22.77,206.8,516.06,2523.36,210.6,Kahuzi,KBPL8,0.5261,19.94897932,19.88073581,50.6,52.23,0.214254992,1.339093697,Taberemonta Johnstonii
